"Party","Page Name","Page ID"
"BBB","BBB BoerBurgerBeweging","338750440106782"
"BBB","BBB Boerburgerbeweging Drenthe","108924971679347"
"BBB","BBB Boerburgerbeweging Flevoland","106486751992356"
"BBB","BBB Boerburgerbeweging Fryslȃn","108918535013324"
"BBB","BBB Boerburgerbeweging Gelderland","101202335863822"
"BBB","BBB Boerburgerbeweging Groningen","108302745077200"
"BBB","BBB Boerburgerbeweging Limburg","108546261782184"
"BBB","BBB Boerburgerbeweging Noord-Brabant","106031525371135"
"BBB","BBB Boerburgerbeweging Noord-Holland","100367435948605"
"BBB","BBB Boerburgerbeweging Overijssel","102351109025041"
"BBB","BBB Boerburgerbeweging Utrecht","106666898640608"
"BBB","BBB Boerburgerbeweging Zeeland","102905492302806"
"BBB","BBB Boerburgerbeweging Zuid-Holland","103223555657667"
"BBB","BBB Waterschap Vechtstromen","110825988562477"
"BBB","BBBondgenoot van Leefbaar Midden Groningen","107300541868638"
"BBB","BBM / BBB Bondgenoot","101980809003000"
"BBB","Bbb-Hmv","101697879064948"
"BBB","Robert Veldhuis BBB","101808345034398"
"BIJ1","Almere BIJ1","104427475039714"
"BIJ1","Amsterdam BIJ1","392732001145937"
"BIJ1","BIJ1","717249231795539"
"BIJ1","Rebekka Timmer","115522827019743"
"BIJ1","Rotterdam BIJ1","170469190212212"
"BVNL","Arjan de Kok - BVNL","100938695703659"
"BVNL","BVNL - Belang van Nederland","100364422327666"
"BVNL","BVNL - Roy Spronken","100178146322974"
"BVNL","BVNL Amstelveen","102713812256408"
"BVNL","BVNL Amsterdam","111595561434045"
"BVNL","BVNL Capelle aan den IJssel","109483924948525"
"BVNL","BVNL Dantumadiel","104559322063508"
"BVNL","BVNL Edam-Volendam","101388832319287"
"BVNL","BVNL Ede","108098575097648"
"BVNL","BVNL Flevoland","103863619253084"
"BVNL","BVNL Gelderland","118331774489558"
"BVNL","BVNL Hilversum","103907862166305"
"BVNL","BVNL Horst aan de Maas","1408263282830082"
"BVNL","BVNL Limburg","109320098670980"
"BVNL","BVNL Noardeast-Fryslân","1471515466307161"
"BVNL","BVNL Oegstgeest","100146749153179"
"BVNL","BVNL Peel en Maas","107390432298459"
"BVNL","BVNL Zaltbommel","104489781983494"
"BVNL","BVNL-Haarlemmermeer","109874178164594"
"BVNL","Henk Krol - BVNL","112387018624778"
"BVNL","Sieta van Keimpema - BVNL","116265614899409"
"BVNL","Wybren van Haga - BVNL","969158383214898"
"CDA","Agnes Mulder","138208102983774"
"CDA","Anne Kuik","580958688640416"
"CDA","Antoinette Roetgerink lijst CDA nr 61","105881151555946"
"CDA","Bart van den Brink","102659231774493"
"CDA","Benno de Ruiter // Raadslid // CDA Zuidplas","106670080679518"
"CDA","Berkellandse CDA","102775708811654"
"CDA","CDA","320374518118"
"CDA","CDA Aalten-Dinxperlo","418727481496257"
"CDA","CDA Albrandswaard","103347675627728"
"CDA","CDA Alkmaar","569095910244859"
"CDA","CDA Almere","244033095778625"
"CDA","CDA Alphen aan den Rijn","499341560149380"
"CDA","CDA Altena","226133584536501"
"CDA","CDA Amersfoort","130377573838100"
"CDA","CDA Amstelveen","1783365325218130"
"CDA","CDA Amsterdam","535450106537661"
"CDA","CDA Apeldoorn","194981260596528"
"CDA","CDA Apeldoorn","107498475104924"
"CDA","CDA Arnhem","1435425473337546"
"CDA","CDA Asten","238075096364508"
"CDA","CDA Barendrecht","483478691758983"
"CDA","CDA Barneveld","409371815837560"
"CDA","CDA Beek","165750333478186"
"CDA","CDA Bergen op Zoom","771521899540181"
"CDA","CDA Bergen-NH","645564278828304"
"CDA","CDA Bernheze","596887176992088"
"CDA","CDA Beverwijk - Wijk aan Zee","178449982356098"
